spotter,spotted,start_game_tick,end_game_tick,spotter_id,spotted_id,demo,hacking,start_frame_num,end_frame_num,color
LDLC NBeardK- * CMSTORM,Zeu$,30709,30827,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,17370,17480,blue
LDLC NBeardK- * CMSTORM,Zeu$,30909,30982,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,17557,17626,blue
LDLC NBeardK- * CMSTORM,Zeu$,31072,31089,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,17710,17726,blue
LDLC NBeardK- * CMSTORM,Zeu$,31111,31114,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,17747,17749,blue
LDLC NBeardK- * CMSTORM,Zeu$,31443,31449,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,18058,18064,blue
LDLC NBeardK- * CMSTORM,Zeu$,32726,32810,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,19261,19340,blue
LDLC NBeardK- * CMSTORM,GuardviaN,51154,51209,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,36537,36589,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,51236,51281,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,36615,36657,redBlue
LDLC NBeardK- * CMSTORM,Zeu$,51266,51282,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,36643,36658,blue
LDLC NBeardK- * CMSTORM,Zeu$,51289,51398,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,36664,36766,blue
LDLC NBeardK- * CMSTORM,Zeu$,51474,51490,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,36838,36853,blue
LDLC NBeardK- * CMSTORM,GuardviaN,51498,51559,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,36859,36918,redBlue
LDLC NBeardK- * CMSTORM,Zeu$,51701,51721,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,37050,37069,blue
LDLC NBeardK- * CMSTORM,Zeu$,51803,51813,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,37146,37155,blue
LDLC NBeardK- * CMSTORM,GuardviaN,52622,52679,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,37913,37967,redBlue
LDLC NBeardK- * CMSTORM,Edward,53383,53435,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,38627,38676,greenBlue
LDLC NBeardK- * CMSTORM,Edward,53619,53668,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,38848,38895,greenBlue
LDLC NBeardK- * CMSTORM,Edward,75342,75431,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59213,59297,greenBlue
LDLC NBeardK- * CMSTORM,starix,75357,75389,102,108,335_natus-vincere-team-ldlc_de_dust2.dem,2,59227,59257,green
LDLC NBeardK- * CMSTORM,starix,75393,75396,102,108,335_natus-vincere-team-ldlc_de_dust2.dem,2,59261,59264,green
LDLC NBeardK- * CMSTORM,starix,75400,75431,102,108,335_natus-vincere-team-ldlc_de_dust2.dem,2,59268,59297,green
LDLC NBeardK- * CMSTORM,starix,75550,75631,102,108,335_natus-vincere-team-ldlc_de_dust2.dem,2,59408,59485,green
LDLC NBeardK- * CMSTORM,Edward,75552,75623,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59411,59477,greenBlue
LDLC NBeardK- * CMSTORM,GuardviaN,75559,75576,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,59417,59420,redBlue
LDLC NBeardK- * CMSTORM,Zeu$,75562,75566,102,106,335_natus-vincere-team-ldlc_de_dust2.dem,2,59420,59423,blue
LDLC NBeardK- * CMSTORM,Edward,75744,75817,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59591,59659,greenBlue
LDLC NBeardK- * CMSTORM,Edward,75859,75876,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59698,59714,greenBlue
LDLC NBeardK- * CMSTORM,Edward,75896,75921,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59733,59757,greenBlue
LDLC NBeardK- * CMSTORM,Edward,75941,75961,102,99,335_natus-vincere-team-ldlc_de_dust2.dem,2,59775,59794,greenBlue
LDLC NBeardK- * CMSTORM,GuardviaN,85034,85072,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,68299,68335,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,91759,91821,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,74604,74663,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,92014,92037,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,74844,74865,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,92065,92132,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,74891,74954,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,92328,92396,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,75138,75201,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,92406,92428,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,75211,75232,redBlue
LDLC NBeardK- * CMSTORM,GuardviaN,92669,92691,102,100,335_natus-vincere-team-ldlc_de_dust2.dem,2,75458,75478,redBlue
